25/08/13 17:11:22 11.990 -87.790  16 2.5 C  87 Km al suroeste de Corinto, Nicaragua
25/08/13 18:18:24 14.120 -89.820   4 2.6 C  20 Km al sureste de Jutiapa, Guatemala
25/08/13 20:38:09 11.980 -87.800   8 2.0 C  89 Km al suroeste de Corinto, Nicaragua
25/08/13 23:49:41 12.550 -88.190  24 2.5 C  67 Km al suroeste de Punta Cosigüina, Nicaragua
25/08/14 01:18:42 14.210 -92.270  26 3.1 C  34 Km al sur de San Marcos, Guatemala
25/08/14 02:08:08 13.420 -92.570   8 3.6 C 120 Km al suroeste de Champerico, Guatemala
25/08/14 09:48:29 14.440 -90.700   3 2.5 C  13 Km al sur de Antigua Guatemala, Guatemala
25/08/14 10:57:47 13.680 -89.910  56 1.7 C  13 Km al noroeste de Acajutla, El Salvador
25/08/14 17:39:49 13.190 -89.600  28 3.6 C  44 Km al suroeste de La Libertad, El Salvador
25/08/14 19:09:19 13.620 -91.120   1 3.4 C  35 Km al sur de Sipacate, Guatemala
25/08/14 20:07:13 14.080 -89.910   5 1.7 C  19 Km al norte de Ahuachapan, El Salvador
25/08/14 20:55:23 13.120 -90.020  21 3.1 C  56 Km al sur de Acajutla, El Salvador
25/08/14 23:56:35 14.110 -89.850   6 2.9 C  20 Km al sur de Jutiapa, Guatemala
25/08/15 01:35:50 13.340 -89.670  44 2.2 C  33 Km al sureste de Acajutla, El Salvador
25/08/15 01:43:41 13.250 -89.770  26 3.6 C  38 Km al sur de Acajutla, El Salvador
25/08/15 01:46:56 13.710 -89.200   4 1.7 C   5 Km al suroeste de San Salvador, El Salvador
25/08/15 02:18:46  7.900 -82.830   2 3.4 C  23 Km al sur de Limones, Distrito Barú, Panamá
25/08/15 05:01:24 11.130 -86.950   6 3.0 C  86 Km al suroeste de Pochomil, Nicaragua
25/08/15 07:09:18 11.260 -85.590 175 2.9 C  11 Km al noroeste de Cárdenas, Nicaragua
25/08/15 08:46:26 14.480 -90.690   2 3.5 C   9 Km al sureste de Antigua Guatemala, Guatemala
25/08/15 09:20:06 13.300 -89.650  31 3.2 C  38 Km al sureste de Acajutla, El Salvador
25/08/15 09:51:44 13.440 -88.270   5 2.1 C  11 Km al oeste de San Miguel, El Salvador
25/08/15 12:30:49 12.050 -86.200   9 2.3 C   3 Km al norte de Ticuantepe, Nicaragua
25/08/15 14:04:00 12.070 -86.180  12 2.3 C   6 Km al noreste de Ticuantepe, Nicaragua
25/08/15 14:18:23 12.210 -87.360  32 2.9 C  38 Km al suroeste de Corinto, Nicaragua
25/08/15 15:19:31 13.520 -92.530  10 4.0 C 109 Km al suroeste de Champerico, Guatemala
25/08/15 15:35:45 13.040 -90.020   9 2.8 C  64 Km al sur de Acajutla, El Salvador
25/08/15 16:45:00 12.520 -87.910  28 3.4 C  50 Km al suroeste de Punta Cosigüina, Nicaragua
25/08/15 17:39:36 14.050 -89.800   5 2.1 C  15 Km al norte de Ahuachapan, El Salvador
25/08/15 18:16:35 12.860 -88.750  33 2.8 C  45 Km al sur de Delta del Rio Lempa, El Salvador
25/08/15 20:20:53 14.460 -90.680   2 2.6 C  12 Km al sureste de Antigua Guatemala, Guatemala
25/08/15 21:06:58 11.060 -86.530  12 3.3 C  63 Km al suroeste de El Astillero, Nicaragua
25/08/15 21:42:29 11.170 -87.640  10 3.5 C 140 Km al suroeste de Masachapa, Nicaragua
25/08/15 21:52:11 14.480 -90.700   3 2.5 C   9 Km al sureste de Antigua Guatemala, Guatemala
25/08/15 23:15:55  8.750 -84.100   5 3.7 C  62 Km al suroeste de Dominical, Costa Rica
25/08/15 23:18:42 13.290 -87.690   4 2.5 C   4 Km al oeste de Amapala, Honduras
25/08/16 00:09:00 14.940 -90.520 138 2.4 C  29 Km al suroeste de Salama, Guatemala
25/08/16 00:16:04 13.250 -92.520  57 4.5 C 133 Km al suroeste de Champerico, Guatemala
25/08/16 00:38:23 12.780 -88.670  35 3.6 C  56 Km al sur de Delta del Rio Lempa, El Salvador
25/08/16 01:25:22 12.510 -89.510   3 3.9 C 110 Km al sur de La Libertad, El Salvador
25/08/16 01:34:24 12.430 -89.570   5 4.0 C 120 Km al sur de La Libertad, El Salvador
25/08/16 02:36:29 12.490 -89.540   8 3.7 C 113 Km al sur de La Libertad, El Salvador
25/08/16 02:48:38 15.740 -92.610 168 2.9 C  47 Km al noreste de Mapastepec, México
25/08/16 03:07:40 14.090 -89.830   6 2.2 C  19 Km al norte de Ahuachapan, El Salvador
25/08/16 05:50:22 14.110 -89.860   8 2.4 C  20 Km al sur de Jutiapa, Guatemala
25/08/16 06:44:24 12.430 -87.680  34 2.5 C  42 Km al suroeste de Jiquilillo, Nicaragua
25/08/16 07:47:56  9.200 -82.630   1 4.0 C  38 Km al noreste de La Tigra, Costa Rica
25/08/16 09:35:56 12.270 -87.450  36 3.7 C  39 Km al suroeste de Corinto, Nicaragua
25/08/16 13:57:43 14.050 -89.800   6 2.5 C  15 Km al norte de Ahuachapan, El Salvador
25/08/16 17:13:56 14.410 -90.690   3 2.7 C  16 Km al noreste de Escuintla, Guatemala
25/08/16 18:49:35 14.450 -90.720   2 3.0 C  12 Km al sur de Antigua Guatemala, Guatemala
25/08/16 20:05:23 11.340 -87.060  22 3.1 C  77 Km al suroeste de Pochomil, Nicaragua
25/08/16 21:15:26  8.640 -82.980  58 3.3 C  19 Km al noroeste de Paso Canoas, Costa Rica
25/08/16 21:41:41 15.280 -90.240   2 3.0 C  21 Km al norte de Salama, Guatemala
25/08/16 22:17:01 12.920 -88.860  39 3.6 C  38 Km al sur de Delta del Rio Lempa, El Salvador
25/08/16 23:53:08 16.680 -95.730  79 4.3 C  79 Km al noroeste de Salina Cruz, México
25/08/16 23:57:42 13.200 -91.170  10 3.7 C  81 Km al sur de San Jose, Guatemala
25/08/16 23:59:51 13.070 -91.220  14 5.3 C  96 Km al sur de San Jose, Guatemala
25/08/17 00:27:49 13.190 -91.130   1 3.6 C  82 Km al sur de Sipacate, Guatemala
25/08/17 00:33:29 12.650 -86.840   5 2.0 C   5 Km al norte de Volcán Telica, Nicaragua
25/08/17 00:51:05 13.280 -91.190   1 3.0 C  72 Km al sur de San Jose, Guatemala
25/08/17 00:57:56 13.410 -91.000   7 3.2 C  60 Km al sur de Sipacate, Guatemala
25/08/17 01:15:00 13.300 -91.050   9 3.2 C  71 Km al sur de Sipacate, Guatemala
25/08/17 01:53:38 14.020 -91.850  33 3.3 C  21 Km al suroeste de Tulate, Guatemala
25/08/17 02:21:21 13.110 -91.210  11 3.3 C  91 Km al sur de San Jose, Guatemala
25/08/17 04:19:22 14.540 -92.910  34 3.8 C  70 Km al oeste de El Gancho México
25/08/17 04:32:01 11.270 -86.780  33 3.0 C  62 Km al suroeste de Casares, Nicaragua
25/08/17 05:18:22 13.210 -91.300  10 3.3 C  81 Km al sur de San Jose, Guatemala
25/08/17 06:43:07 12.900 -86.580   3 1.8 C   5 Km al oeste de El Sauce, Nicaragua
25/08/17 09:37:22 13.100 -87.710 158 3.5 C  19 Km al norte de Punta Ñata, Chinandega, Nicaragua
25/08/17 09:46:40 12.880 -88.890  32 3.3 C  42 Km al sur de Delta del Rio Lempa, El Salvador
25/08/17 10:49:28 14.370 -91.500 113 3.5 C  18 Km al norte de Mazatenango, Guatemala
25/08/17 14:35:41 14.120 -89.760   1 3.2 C  23 Km al sureste de Jutiapa, Guatemala
25/08/17 15:13:43 12.240 -88.510  15 3.7 C 112 Km al suroeste de Playa El Cuco, El Salvador
25/08/17 16:31:20 13.090 -90.990   1 4.2 C  95 Km al sur de Sipacate, Guatemala
25/08/17 16:37:12 12.950 -89.100  39 3.0 C  45 Km al suroeste de Delta del Rio Lempa, El Salvador
25/08/17 16:55:26 12.970 -89.030  33 3.6 C  39 Km al suroeste de Delta del Rio Lempa, El Salvador
25/08/17 17:27:38 11.840 -86.230 136 2.7 C   2 Km al sureste de Diriamba, Nicaragua
25/08/17 18:45:39 14.490 -90.700   5 2.9 C   8 Km al sureste de Antigua Guatemala, Guatemala
25/08/17 20:41:58 14.130 -89.830   5 2.4 C  18 Km al sur de Jutiapa, Guatemala
25/08/17 21:38:10 11.680 -87.170  33 3.0 C  66 Km al suroeste de El Transito, Nicaragua
25/08/17 22:13:09 14.110 -89.840   6 2.7 C  20 Km al sur de Jutiapa, Guatemala
25/08/17 22:52:01 12.910 -88.860  36 2.6 C  39 Km al sur de Delta del Rio Lempa, El Salvador
25/08/17 23:52:38 14.490 -92.290  35 3.9 C   9 Km al suroeste de El Gancho México
25/08/17 23:58:53 13.950 -91.350  42 4.7 C   3 Km al sureste de Tecojate, Guatemala
25/08/18 01:53:58 13.160 -91.180  10 3.3 C  85 Km al sur de San Jose, Guatemala
25/08/18 02:07:19 10.380 -86.300  19 3.0 C  34 Km al oeste de Rosario, Costa Rica
25/08/18 02:46:17 10.370 -86.390  10 3.1 C  44 Km al oeste de Rosario, Costa Rica
25/08/18 03:13:42 14.410 -92.790  10 3.3 C  60 Km al oeste de El Gancho México
25/08/18 03:29:31 12.630 -88.280  33 2.6 C  63 Km al sur de Playa El Cuco, El Salvador
25/08/18 03:37:04 11.670 -76.600  10 4.2 C 317 Km al noreste de Ustupo, Panamá
25/08/18 05:56:52 12.790 -89.800  10 4.5 C  89 Km al sur de Acajutla, El Salvador
